id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.3699e+17,Rental unit in Chicago · ★4.93 · 3 bedrooms · 4 beds · 1 bath,70364892,Sylvia,0.0,Lower West Side,41.85619696,-87.66271301,Entire home/apt,118.0,2,14,26-11-2023,1.96,2,193,14,R23000098898
8.26846e+17,Home in Chicago · ★4.80 · 4 bedrooms · 5 beds · 2.5 baths,48257733,Hayk,0.0,Lake View,41.93798919,-87.65334206,Entire home/apt,352.0,2,5,10-12-2023,2.14,1,139,5,R23000102239
8.26876e+17,Rental unit in Chicago · 4 bedrooms · 4 beds · 1 bath,209982127,Shomari,0.0,South Shore,41.75415296,-87.5516224,Entire home/apt,160.0,32,0,0,0.0,5,179,0,0
8.37055e+17,Rental unit in Chicago · ★4.79 · 2 bedrooms · 3 beds · 2 baths,1118796,Stephanie,0.0,Near South Side,41.86427801,-87.62276897,Entire home/apt,147.0,6,29,29-11-2023,3.09,13,254,29,R23000097954
8.3712e+17,Rental unit in Chicago · ★4.94 · 2 bedrooms · 3 beds · 2 baths,1118796,Stephanie,0.0,Near South Side,41.864545,-87.62470978,Entire home/apt,165.0,6,33,19-11-2023,3.6,13,147,33,R23000097953
8.26909e+17,Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 private bath,46429099,Sezgin,0.0,Albany Park,41.9707364,-87.7123173,Private room,95.0,30,8,04-11-2023,1.86,1,172,8,R21000070481
8.26969e+17,Loft in Chicago · ★4.94 · 1 bedroom · 1 bed · 1 bath,39623111,Javier,0.0,West Town,41.89060387,-87.65228043,Entire home/apt,157.0,1,35,23-11-2023,4.88,1,0,35,R23000101036
8.3713e+17,Rental unit in Chicago · ★5.0 · 2 bedrooms · 3 beds · 1 bath,21336247,Cara,0.0,Albany Park,41.9622475,-87.7036943,Entire home/apt,137.0,2,6,09-10-2023,0.85,1,4,6,R23000099316
8.27457e+17,Rental unit in Chicago · ★4.57 · 1 bedroom · 1 bed · 1 bath,47172572,Zencity,0.0,Near North Side,41.89898538,-87.628175,Entire home/apt,83.0,2,36,13-12-2023,3.59,55,0,36,R21000063379
8.28078e+17,Rental unit in Chicago · ★4.86 · 1 bedroom · 1 bed · 1.5 shared baths,38605694,Denzel,0.0,Fuller Park,41.7999402,-87.63236702,Private room,35.0,2,14,23-10-2023,1.43,3,342,14,R22000086969
8.37172e+17,Home in Chicago · ★4.95 · 4 bedrooms · 9 beds · 3.5 baths,15105520,Tian,0.0,East Garfield Park,41.8831625,-87.6947563,Entire home/apt,232.0,2,22,27-11-2023,2.34,4,340,22,R23000096619
8.37617e+17,Rental unit in Chicago · 2 bedrooms · 2 beds · 1 bath,33683530,Jeffery,0.0,West Town,41.90859,-87.66967,Entire home/apt,90.0,32,1,08-05-2023,0.13,1,365,1,0
8.28223e+17,Rental unit in Chicago · 1 bedroom · 1 bed · 1 shared bath,501363193,Emrah,0.0,Uptown,41.96760365,-87.65893715,Private room,70.0,25,2,12-08-2023,0.31,2,269,2,R23000095460
8.37637e+17,Home in Chicago · 3 bedrooms · 4 beds · 2.5 baths,503136249,Dee,0.0,Chatham,41.7422509,-87.6104143,Entire home/apt,199.0,32,0,0,0.0,2,258,0,0
8.28252e+17,Serviced apartment in Chicago · Studio · 1 bed · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,100.0,32,0,0,0.0,23,365,0,0
8.28348e+17,Serviced apartment in Chicago · Studio · 1 bed · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,100.0,32,0,0,0.0,23,365,0,0
8.2836e+17,Serviced apartment in Chicago · 1 bedroom · 1 bed · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,165.0,32,0,0,0.0,23,365,0,0
8.28362e+17,Serviced apartment in Chicago · Studio · 1 bed · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,100.0,32,1,03-11-2023,0.65,23,365,1,0
8.37651e+17,Rental unit in Chicago · ★4.40 · 1 bedroom · 2 beds · 1 bath,435105119,Sonder (Chicago),0.0,Near West Side,41.88380748,-87.66276862,Entire home/apt,163.0,2,10,05-11-2023,1.7,41,314,10,2881881
8.28373e+17,Serviced apartment in Chicago · Studio · 1 bed · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,100.0,32,0,0,0.0,23,365,0,0
8.28374e+17,Serviced apartment in Chicago · 1 bedroom · 1 bed · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,132.0,32,0,0,0.0,23,365,0,0
